HCPCS_CODE,n,claims,unit_mean,unit_std,unit_p10,unit_p90,unit_iqr_like,cv,suspicion_score
90837,1869501,127195989.0,90.79717972360571,56.11452135958703,35.223571428571425,130.69,95.46642857142857,0.6180205324703297,52.78192725223799
97530,1089807,126200638.0,50.48540856930126,40.56359149888336,9.162382151029748,95.30341654400942,86.14103439297968,0.8034715900773937,67.04024686908403
S5170,36119,122192059.0,58.48719441603187,78.35932471360118,5.755917148859322,169.4162042175361,163.66028706867678,1.3397689100320767,127.4266329708838
A0425,473720,121772109.0,40.682125135116976,69.61276278066607,2.476829127613555,94.91164285714294,92.43481372952938,1.7111387998896856,144.6299243967976
71045,1858018,112591845.0,9.799269034194733,21.157124443959432,1.561358959864331,15.710673869524268,14.149314909659937,2.159051289451412,108.84268215221688
S5102,96905,111095812.0,123.21546545675423,194.496376973441,56.400000000000006,177.9565670484099,121.5565670484099,1.5785062066068702,140.7073947217833
99285,2901462,111002396.0,119.50235615255363,120.47173464618325,46.92,206.59996108949412,159.6799610894941,1.0081117939833097,94.95385924334889
92508,453977,110042491.0,15.052715630118117,9.056366851294586,4.310284104627767,24.43,20.11971589537223,0.6016433893944173,34.036565392958
H2015,272463,109877296.0,162.23696528422673,165.85941016162764,0.0,333.88608131755024,333.88608131755024,1.0223281104343556,110.15267699379076
90834,1212542,108817687.0,65.37153217482471,55.26504600375563,2.592068376068377,112.90143530687772,110.30936693080933,0.8453992764917755,73.80790347133227
T2003,169070,108696965.0,45.07734416033257,87.94668224597841,5.191909372236959,94.76696428571432,89.57505491347736,1.9510173876519161,162.76441923266088
D1120,1699599,108321764.0,32.881951367043214,18.80032731261915,14.703652587991723,50.55555555555556,35.85190296756383,0.5717521780493314,38.21975771941212
80061,563567,106349211.0,9.448895095959847,17.275849985924246,0.0,15.745607681365584,15.745607681365584,1.8283460458049794,95.28233420505495
T1016,203939,98273616.0,76.99507631965096,176.90399395047234,0.49418180223565283,163.94243379608938,163.44825199385372,2.2976013844838836,215.84885563635171
83036,735771,97602740.0,5.856607997773777,10.304403717315925,0.0,10.616470588235293,10.616470588235293,1.759449107953418,79.42409077757499
99232,1525745,96610775.0,30.64731197582916,27.204958032626166,8.964,55.1999090909091,46.235909090909104,0.8876784382944285,62.99098770774993
