HCPCS_CODE,n,claims,unit_mean,unit_std,unit_p10,unit_p90,unit_iqr_like,cv,suspicion_score
Q5003,10369,1246646.0,806.981185005356,1688.6348425257468,0.0,4009.0630369106075,4009.0630369106075,2.0925331022612865,243.79252219657164
Y7506,21963,631738.0,333.62282981271994,976.4498265067488,3.062564102564104,508.7397142857143,505.67715018315016,2.9268075780511826,243.53775081094253
J2704,167805,12792462.0,3.9256273603525167,26.871279801828184,0.0,7.574812617702449,7.574812617702449,6.845091837605079,240.7375349162583
J2543,10363,409620.0,5.227836670328791,39.180886900091245,0.0,10.923572098842667,10.923572098842667,7.494665455496541,240.085027072444
H2036,34147,18209988.0,714.1319891141555,1353.3491518895528,76.80775455686171,2020.4562857142876,1943.6485311574259,1.8950966663295865,240.04346736631314
A4221,13767,1036966.0,25.856883211311313,134.65519195005956,5.486153393776036,32.163916666666665,26.67776327289063,5.207711650689341,239.58369635280994
G9010,3175,2996162.0,155.31163729997877,359.13932816822785,0.0,1009.5999999999999,1009.5999999999999,2.312378740007507,238.6747878896582
C1758,3180,69034.0,5.995657068997001,50.176151541047595,0.0,11.439497076023391,11.439497076023391,8.368749407050634,235.0940216259855
J2710,19504,604918.0,5.964736538811655,43.702259663749025,0.0,10.027885714285716,10.027885714285716,7.326771162378239,234.170109239637
H2013,3616,1225020.0,2274.701832887098,4203.005748263634,142.67833833219723,7381.540448717948,7238.86211038575,1.8477172205594492,230.32639249691343
76497,527,24020.0,16.56424992852308,120.59648425981098,1.1883031674208147,23.170585511575805,21.98228234415499,7.2805279309477156,230.23437959730555
J2405,317002,26942710.0,3.1277658847116903,21.73575214700269,0.0,5.924051633723276,5.924051633723276,6.949289987861811,230.09884357258346
J3370,22606,838134.0,7.149869874573439,45.76828823646672,0.0,12.577156862745099,12.577156862745099,6.401275693034518,227.7650748059109
S5161,39411,25473867.0,43.90255542497619,169.19189468756437,16.50943396226415,47.46153846153846,30.95210449927431,3.8538051612210023,227.7273120390717
0430,699,28982.0,10.68892358771303,75.0024700090666,0.0,21.91679166666669,21.91679166666669,7.016840320131235,225.82207890154024
G9004,3400,1881109.0,31.874374957459924,117.74829254344151,0.0,65.84372549019608,65.84372549019608,3.694136518773791,224.34291092830938
D7999,973,222539.0,651.1444683415127,1468.7082286940556,19.702542408322223,3195.6811636363636,3175.9786212280414,2.2555796756362008,224.04914559721516
J7040,56933,3155099.0,6.421464106521187,43.92884877383823,0.0,7.8356511627906995,7.8356511627906995,6.840939705514695,223.0789937665418
97150,108298,10916093.0,67.85955418527801,257.4995378701563,3.0585979729729735,39.402,36.343402027027025,3.7945951894570547,222.6774833362344
